"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"trafico.nlogo"
"experimento-flujo"
"10/26/2024 20:06:04:819 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","mean(lista_flujo)"
"3","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"9","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"8","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"5","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"2","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"6","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"4","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"7","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"1","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"6","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"10","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"9","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"11","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"3","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"12","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"1","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"13","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"2","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"14","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"4","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"15","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"5","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"16","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"7","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"17","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"8","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"18","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"15","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"19","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"10","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"20","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"11","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"21","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"16","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"22","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"18","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"23","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"13","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"24","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"14","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"25","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"17","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"26","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"12","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"27","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"20","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"28","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"19","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"29","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"21","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"30","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"22","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"31","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"24","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"32","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"28","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"33","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"27","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"34","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"26","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"35","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"25","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"36","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"23","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"37","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"29","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"38","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"32","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"39","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"31","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"40","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"33","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"41","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"30","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"42","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"34","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"43","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"35","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"44","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"37","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"45","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"38","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9504950495049505"
"36","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"46","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"47","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"39","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"48","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"43","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
"49","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"41","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9405940594059405"
"50","aleatoria","1","0.0045","alaetoria","0.026","0","0"
"42","aleatoria","1","0.0045","alaetoria","0.026","5000","0.9603960396039604"
